#options: 1920x1152 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=9 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=10000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=12000 vbv_bufsize=15000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:28.23 aq:13.00 tex:8607 mv:3826 misc:6519 imb:8640 pmb:0 smb:0 d:- ref:;
in:32 out:33 type:b dur:2 cpbdur:2 q:12.13 aq:3.48 tex:241112 mv:38714 misc:3614 imb:1144 pmb:5098 smb:2398 d:s ref:0 ;
in:34 out:34 type:P dur:2 cpbdur:2 q:12.34 aq:3.06 tex:331742 mv:36642 misc:4136 imb:4549 pmb:1455 smb:2636 d:s ref:0 ;
in:36 out:35 type:P dur:2 cpbdur:2 q:12.40 aq:3.10 tex:397452 mv:37064 misc:3980 imb:4677 pmb:1361 smb:2602 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:12.44 aq:3.95 tex:245976 mv:43110 misc:5586 imb:1505 pmb:3519 smb:3616 d:s ref:0 ;
in:39 out:37 type:P dur:2 cpbdur:2 q:12.42 aq:3.09 tex:412183 mv:38408 misc:4129 imb:4661 pmb:1420 smb:2559 d:s ref:0 ;
in:37 out:38 type:B dur:2 cpbdur:2 q:12.44 aq:3.61 tex:288696 mv:47398 misc:6154 imb:1672 pmb:3405 smb:3563 d:s ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:12.44 aq:3.87 tex:245653 mv:42200 misc:5683 imb:1194 pmb:3847 smb:3599 d:- ref:0 ;
in:42 out:40 type:P dur:2 cpbdur:2 q:12.78 aq:3.80 tex:391834 mv:41807 misc:4207 imb:4183 pmb:1868 smb:2589 d:s ref:0 ;
in:40 out:41 type:B dur:2 cpbdur:2 q:12.79 aq:3.79 tex:274616 mv:45880 misc:5856 imb:1388 pmb:3891 smb:3361 d:s ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:12.79 aq:4.23 tex:210452 mv:43398 misc:6134 imb:1044 pmb:3828 smb:3768 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:13.01 aq:3.40 tex:326021 mv:38513 misc:5250 imb:3237 pmb:2416 smb:2987 d:s ref:0 ;
in:47 out:44 type:P dur:2 cpbdur:2 q:13.51 aq:4.18 tex:377714 mv:38370 misc:5276 imb:3003 pmb:2185 smb:3452 d:s ref:0 ;
in:45 out:45 type:B dur:2 cpbdur:2 q:13.54 aq:4.64 tex:269080 mv:44574 misc:6306 imb:1090 pmb:3981 smb:3569 d:s ref:0 ;
in:44 out:46 type:b dur:2 cpbdur:2 q:13.54 aq:5.05 tex:183301 mv:40130 misc:6265 imb:733 pmb:4004 smb:3903 d:s ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:13.54 aq:5.31 tex:176864 mv:36885 misc:6371 imb:499 pmb:3952 smb:4189 d:- ref:0 ;
in:51 out:48 type:P dur:2 cpbdur:2 q:13.77 aq:4.79 tex:390135 mv:42058 misc:4447 imb:3986 pmb:1944 smb:2710 d:s ref:0 ;
in:49 out:49 type:B dur:2 cpbdur:2 q:13.77 aq:4.90 tex:279230 mv:48512 misc:5722 imb:1064 pmb:4167 smb:3409 d:s ref:0 ;
in:48 out:50 type:b dur:2 cpbdur:2 q:13.77 aq:5.66 tex:168452 mv:38277 misc:6255 imb:535 pmb:3931 smb:4174 d:s ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:13.77 aq:5.69 tex:169726 mv:38307 misc:6327 imb:522 pmb:3988 smb:4130 d:- ref:0 ;
in:54 out:52 type:P dur:2 cpbdur:2 q:13.87 aq:4.82 tex:351375 mv:38564 misc:4589 imb:3439 pmb:1984 smb:3217 d:s ref:0 ;
